DoW,Mon,Hour,Detected,Real
Tuesday,10,0,1,25
Sunday,10,0,3,41
Tuesday,10,1,16,224
Wednesday,10,1,7,237
Tuesday,10,1,11,235
Thursday,10,1,8,297
Friday,10,1,16,356
Thursday,10,2,10,228
Saturday,10,1,11,316
Saturday,10,0,1,27
Friday,10,1,20,209
Friday,10,0,3,27
Saturday,10,1,5,257
Sunday,10,0,3,10
Monday,10,2,4,119
Thursday,10,0,2,18
Sunday,10,0,1,12
Saturday,10,2,5,138
Friday,10,0,6,29
Wednesday,10,1,13,205
Saturday,10,1,5,151
Sunday,10,1,8,214
Friday,10,0,1,23
Tuesday,10,1,13,212
Tuesday,10,0,2,50
Friday,10,1,10,273
Thursday,10,0,1,31
Saturday,10,0,4,37
Friday,10,1,25,315
Thursday,10,0,1,26
Monday,10,0,7,60
Thursday,10,2,3,70
Saturday,10,0,2,48
Monday,10,0,4,24
Friday,10,0,2,27
Sunday,10,2,8,394
Sunday,10,1,6,175
Wednesday,10,1,9,227
Sunday,10,1,16,285
Thursday,10,1,10,306
Monday,10,0,1,34
Tuesday,10,1,13,253
Friday,10,2,6,218
Monday,10,1,14,198
Saturday,10,1,7,227
Saturday,10,0,1,40
Sunday,10,2,3,71
Sunday,10,0,1,12
Thursday,10,1,18,218
Saturday,10,0,5,37
Monday,10,1,7,196
Thursday,10,1,13,263
Wednesday,10,2,14,182
Monday,10,1,6,201
Thursday,10,1,9,241
Monday,10,1,11,212
Tuesday,10,1,11,261
Saturday,10,1,13,202
Monday,10,1,15,246
Thursday,10,0,12,299
Thursday,10,1,13,246
Thursday,10,0,2,29
Saturday,10,1,3,76
Thursday,10,2,8,175
Saturday,10,0,5,81
Saturday,10,2,5,228
Thursday,10,0,11,256
Wednesday,10,1,15,258
Friday,10,1,10,303
Wednesday,10,1,16,179
Wednesday,10,1,11,277
Saturday,10,1,12,258
Thursday,10,2,12,175
Wednesday,10,0,1,27
Tuesday,10,0,1,28
Saturday,10,0,4,46
Thursday,10,0,2,42
Tuesday,10,0,2,18
Wednesday,10,0,2,67
Thursday,10,2,10,182
Wednesday,10,2,10,223
Saturday,10,1,7,192
Sunday,10,0,7,70
Friday,10,0,7,29
Friday,10,0,5,41
Monday,10,0,7,42
Friday,10,2,3,146
Wednesday,10,1,8,176
Thursday,10,1,4,256
Sunday,10,1,11,398
Thursday,10,1,9,208
Friday,10,0,1,34
Thursday,10,0,1,30
Friday,10,0,14,28
Monday,10,0,4,28
Wednesday,10,1,6,176
Saturday,10,1,10,250
Sunday,10,0,1,11
Tuesday,10,1,9,214
Tuesday,10,0,4,27
Monday,10,1,12,305
Sunday,10,2,5,313
Saturday,10,0,7,165
Friday,10,0,6,79
Thursday,10,1,13,236
Saturday,10,2,3,128
Friday,10,2,6,292
Tuesday,10,1,7,256
Thursday,10,1,9,224
Thursday,10,1,14,202
Wednesday,10,0,3,23
Friday,10,1,25,258
Saturday,10,1,1,121
Thursday,10,1,11,235
Saturday,10,1,7,186
Friday,10,0,8,80
Wednesday,10,2,11,188
Tuesday,10,1,15,195
Friday,10,0,3,15
Thursday,10,1,14,251
Thursday,10,1,15,214
Sunday,10,0,1,91
Friday,10,1,18,264
Saturday,10,1,11,170
Saturday,10,1,7,253
Saturday,10,1,11,282
Thursday,10,0,24,249
Saturday,10,2,2,120
Saturday,10,1,7,160
Friday,10,1,17,208
Friday,10,1,12,499
Monday,10,1,2,337
Friday,10,2,4,129
Thursday,10,1,14,360
Wednesday,10,0,12,138
Thursday,10,0,1,39
Thursday,10,0,20,359
Saturday,10,1,5,181
Saturday,10,0,13,151
Friday,10,0,1,33
Thursday,10,0,5,44
Thursday,10,2,9,135
Thursday,10,1,12,198
Friday,10,0,14,303
Saturday,10,1,2,178
Monday,10,0,1,21
Saturday,10,0,2,89
Wednesday,10,1,7,225
Friday,10,2,9,126
Sunday,10,2,8,247
Tuesday,10,1,15,281
Sunday,10,0,3,44
Saturday,10,0,4,46
Sunday,10,1,9,130
Friday,10,1,13,205
Sunday,10,1,11,342
Friday,10,2,2,88
Thursday,10,1,12,268
Thursday,10,1,10,213
Thursday,10,1,10,180
Friday,10,1,20,301
Monday,10,0,4,75
Sunday,10,2,3,187
Wednesday,10,1,15,310
Wednesday,10,0,8,259
Friday,10,2,6,255
Friday,10,1,4,174
Monday,10,0,1,24
Thursday,10,1,13,174
Saturday,10,1,6,238
Wednesday,10,2,3,51
Saturday,10,1,5,281
Wednesday,10,0,6,20
Friday,10,0,5,54
Saturday,10,0,1,28
Monday,10,1,17,316
Sunday,10,2,3,124
Thursday,10,0,20,208
Saturday,10,1,15,231
Sunday,10,1,8,211
Tuesday,10,1,9,188
Sunday,10,0,2,30
Friday,10,2,14,420
Sunday,10,0,2,54
Saturday,10,0,5,32
Saturday,10,1,11,268
Monday,10,1,4,278
Saturday,10,0,5,107
Tuesday,10,1,18,184
Saturday,10,1,24,397
Saturday,10,2,3,103
Tuesday,10,0,6,27
Monday,10,0,8,294
Sunday,10,1,12,171
Friday,10,1,14,295
Monday,10,0,3,58
Thursday,10,2,18,149
Sunday,10,1,4,168
Friday,10,1,28,242
Friday,10,1,8,164
Friday,10,0,34,291
Friday,10,1,25,420
Saturday,10,0,3,29
Saturday,10,2,8,150
Wednesday,10,1,8,189
Saturday,10,0,5,197
Saturday,10,0,1,34
