"","idSensor","Fecha","Total"
"199","1011",2015-10-03 03:15:00,2
"200","1011",2015-10-03 03:30:00,2
"201","1011",2015-10-03 03:45:00,1
"202","1011",2015-10-03 04:00:00,1
"203","1011",2015-10-03 04:15:00,2
"204","1011",2015-10-03 04:30:00,2
"205","1011",2015-10-03 04:45:00,2
"206","1011",2015-10-03 05:00:00,4
"207","1011",2015-10-03 05:15:00,1
"208","1011",2015-10-03 05:30:00,3
"209","1011",2015-10-03 05:45:00,1
"210","1011",2015-10-03 06:00:00,2
"211","1011",2015-10-03 06:15:00,3
"212","1011",2015-10-03 06:30:00,3
"213","1011",2015-10-03 06:45:00,2
"214","1011",2015-10-03 07:00:00,3
"215","1011",2015-10-03 07:15:00,4
"216","1011",2015-10-03 07:30:00,7
"217","1011",2015-10-03 07:45:00,6
"218","1011",2015-10-03 08:00:00,5
"219","1011",2015-10-03 08:15:00,6
"220","1011",2015-10-03 08:30:00,6
"221","1011",2015-10-03 08:45:00,12
"222","1011",2015-10-03 09:00:00,9
"223","1011",2015-10-03 09:15:00,6
"224","1011",2015-10-03 09:30:00,12
"225","1011",2015-10-03 09:45:00,9
"226","1011",2015-10-03 10:00:00,10
"227","1011",2015-10-03 10:15:00,12
"228","1011",2015-10-03 10:30:00,5
"229","1011",2015-10-03 10:45:00,12
"230","1011",2015-10-03 11:00:00,13
"231","1011",2015-10-03 11:15:00,16
"232","1011",2015-10-03 11:30:00,10
"233","1011",2015-10-03 11:45:00,10
"234","1011",2015-10-03 12:00:00,10
"235","1011",2015-10-03 12:15:00,13
"236","1011",2015-10-03 12:30:00,13
"237","1011",2015-10-03 12:45:00,18
"238","1011",2015-10-03 13:00:00,12
"239","1011",2015-10-03 13:15:00,15
"240","1011",2015-10-03 13:30:00,10
"241","1011",2015-10-03 13:45:00,13
"242","1011",2015-10-03 14:00:00,10
"243","1011",2015-10-03 14:15:00,7
"244","1011",2015-10-03 14:30:00,10
"245","1011",2015-10-03 14:45:00,8
"246","1011",2015-10-03 15:00:00,5
"247","1011",2015-10-03 15:15:00,6
"248","1011",2015-10-03 15:30:00,8
"249","1011",2015-10-03 15:45:00,7
"250","1011",2015-10-03 16:00:00,8
"251","1011",2015-10-03 16:15:00,8
"252","1011",2015-10-03 16:30:00,5
"253","1011",2015-10-03 16:45:00,6
"254","1011",2015-10-03 17:00:00,8
"255","1011",2015-10-03 17:15:00,12
"256","1011",2015-10-03 17:30:00,9
"257","1011",2015-10-03 17:45:00,6
"258","1011",2015-10-03 18:00:00,11
"259","1011",2015-10-03 18:15:00,8
"260","1011",2015-10-03 18:30:00,6
"261","1011",2015-10-03 18:45:00,8
"262","1011",2015-10-03 19:00:00,9
"263","1011",2015-10-03 19:15:00,4
"264","1011",2015-10-03 19:30:00,10
"265","1011",2015-10-03 19:45:00,10
"266","1011",2015-10-03 20:00:00,6
"267","1011",2015-10-03 20:15:00,10
"268","1011",2015-10-03 20:30:00,10
"269","1011",2015-10-03 20:45:00,6
"270","1011",2015-10-03 21:00:00,5
"271","1011",2015-10-03 21:15:00,4
"272","1011",2015-10-03 21:30:00,6
"273","1011",2015-10-03 21:45:00,5
"274","1011",2015-10-03 22:00:00,9
"275","1011",2015-10-03 22:15:00,3
"276","1011",2015-10-03 22:30:00,1
"277","1011",2015-10-03 22:45:00,3
"278","1011",2015-10-03 23:00:00,5
"279","1011",2015-10-03 23:15:00,3
"280","1011",2015-10-03 23:30:00,1
"281","1011",2015-10-03 23:45:00,3
"282","1011",2015-10-04 00:00:00,2
"283","1011",2015-10-04 00:15:00,6
"284","1011",2015-10-04 00:30:00,2
"285","1011",2015-10-04 00:45:00,2
"286","1011",2015-10-04 01:00:00,2
"287","1011",2015-10-04 01:15:00,1
"288","1011",2015-10-04 01:45:00,1
"289","1011",2015-10-04 02:15:00,1
"290","1011",2015-10-04 02:30:00,1
"291","1011",2015-10-04 03:00:00,2
"292","1011",2015-10-04 03:30:00,1
"293","1011",2015-10-04 04:00:00,1
"294","1011",2015-10-04 05:15:00,2
"295","1011",2015-10-04 05:45:00,1
"296","1011",2015-10-04 06:00:00,1
"297","1011",2015-10-04 06:30:00,1
"298","1011",2015-10-04 07:00:00,1
"299","1011",2015-10-04 07:15:00,2
"300","1011",2015-10-04 07:30:00,4
"301","1011",2015-10-04 07:45:00,2
"302","1011",2015-10-04 08:00:00,1
"303","1011",2015-10-04 08:15:00,2
