5
#n time_relat_102	time_relat_112	time_relat_122	time_relat_132	time_relat_142
0.060547814	0.72200865	0.173954829	0.030514176	0.012974531
1	0	0	0	0
0	0.601754036	0.398245964	0	0
0.003229974	0.711886305	0.020241171	0.125753661	0.138888889
0	1	0	0	0
0	0	0	1	0
0	0	1	0	0
0.361809045	0.34840871	0.279731993	0.010050251	0
0	0	1	0	0
0.02488786	0.245695268	0.330053538	0.066415859	0.332947475
0	1	0	0	0
0.158055175	0.841944825	0	0	0
0.294993599	0.31891382	0.277272421	0.001280237	0.107539923
0	0.550205386	0.357827476	0	0.091967138
0	0.090258752	0.870928463	0	0.038812785
0.053319058	0.322055675	0.339186296	0.104925054	0.180513919
0	0	0.749482402	0.250517598	0
0	0	0	1	0
0	0	0	1	0
0	1	0	0	0
0	1	0	0	0
1	0	0	0	0
0.028900968	0.646824871	0.280790137	0.020151134	0.023332891
0	0	0	1	0
1	0	0	0	0
0	1	0	0	0
0	0	0	1	0
0	0	0	0.804386911	0.195613089
0.08851017	0.490379329	0.304343046	0.009675646	0.107091809
0	0	0	1	0
0.840909091	0.159090909	0	0	0
1	0	0	0	0
0.092718569	0.899974805	0	0	0.007306626
1	0	0	0	0
1	0	0	0	0
0.986885246	0	0	0	0.013114754
0.069735643	0.581586144	0	0.288058341	0.060619872
1	0	0	0	0
0	0	0	1	0
0.001247401	0.324561925	0.577071577	0.021502822	0.075616276
0.465934066	0.472527473	0	0.030769231	0.030769231
0	0	0	1	0
0	0.674593242	0.325406758	0	0
0	0	0	1	0
0.336363636	0.554545455	0	0.0075	0.101590909
0.045168539	0.660449438	0.119775281	0.066966292	0.107640449
0	0.806927458	0.082905424	0.012510503	0.097656615
0.103773585	0	0	0.594339623	0.301886792
0.020401224	0.667800068	0	0	0.311798708
1	0	0	0	0
0.073679333	0.910101946	0.016218721	0	0
0	0	0	0.908396947	0.091603053
0	0.933477107	0	0.040228932	0.026293962
0.064458225	0.673302872	0.106070496	0	0.156168407
0	0.860848337	0.120842234	0.018309429	0
0	0	0	0.986363636	0.013636364
0	0.6314258	0	0.221629486	0.146944714
0.991876523	0	0	0.004061738	0.004061738
0	0.078341014	0.921658986	0	0
0	0	0	1	0
0	0	0	1	0
0.966535433	0	0	0	0.033464567
0.193469388	0.431020408	0.375510204	0	0
0.081695967	0.608066184	0	0	0.310237849
0	0.994305482	0	0	0.005694518
0	0.239109848	0	0	0.760890152
0.81369863	0.18630137	0	0	0
0	0	0	1	0
1	0	0	0	0
0	0	0	1	0
0.126876602	0.453130721	0.257781033	0.006774075	0.155437569
0	0	0	1	0
0.033333333	0	0	0.166666667	0.8
0.631356826	0.0042203	0	0	0.364422874
0.451268358	0.282599021	0	0.089452603	0.176680018
0	0.61325171	0.371984156	0.014764134	0
0.186813187	0.720565149	0	0.070643642	0.021978022
0.236248516	0.107241789	0.304313415	0.065690542	0.286505738
0.99713056	0	0	0	0.00286944
0.265354331	0.624409449	0.11023622	0	0
0.373915401	0.529284165	0	0.096800434	0
0	0.372316802	0.08623242	0.176535899	0.364914878
1	0	0	0	0
0.196581197	0.803418803	0	0	0
0.006196518	0.460017704	0.507819416	0	0.025966362
0	1	0	0	0
0.306580259	0.474077767	0.177966102	0	0.041375872
0.131206586	0	0.089014664	0.140468227	0.639310522
0.404474812	0.547293676	0	0	0.048231511
0	0	0	1	0
0.033682873	0.764749497	0.16703739	0.029446033	0.005084207
0.086145462	0.547264724	0.366589813	0	0
0	0	0	1	0
0	0	0	1	0
0.429535953	0.225375886	0	0.07798177	0.267106391
0.002506789	0.209734698	0.599540422	0	0.188218091
0	0.186642881	0	0.476753261	0.336603858
1	0	0	0	0
0	0	0	1	0
1	0	0	0	0
0.195255474	0.09169708	0	0.273722628	0.439324818
0	1	0	0	0
0	0	0	1	0
0	0.940726105	0	0.029636947	0.029636947
1	0	0	0	0
0	0.810855811	0	0.014985015	0.174159174
0	0.804676754	0	0	0.195323246
1	0	0	0	0
0	0.980756813	0	0.019243187	0
0	0	0	0.82133995	0.17866005
0	0	0	0	1
0	0.635509516	0.309082149	0.024090581	0.031317755
0.926460114	0.030448718	0	0.013176638	0.02991453
0.488997555	0	0	0	0.511002445
0.096121417	0	0	0.362563238	0.541315346
0.19826125	0.325277489	0.05385751	0.180326972	0.242276778
0	0.336134454	0.441176471	0	0.222689076
0	1	0	0	0
0.115845539	0	0	0.868175766	0.015978695
0.006048066	0.139423842	0.854528092	0	0
0.775648516	0	0	0.046038794	0.17831269
1	0	0	0	0
0.205555556	0.098148148	0	0.299074074	0.397222222
0	0.628136201	0.371863799	0	0
0	0.94956795	0	0.012411626	0.038020424
0	0	0	1	0
0.0108252	0.43176575	0.514108252	0	0.043300799
0.312465064	0.687534936	0	0	0
0.356741573	0	0	0	0.643258427
0	0	0	1	0
0	0	0	1	0
0	0.341856693	0.028623223	0.228794962	0.400725122
0	0.450867881	0.040166404	0.058528188	0.450437527
0.415941365	0.387998168	0.016032982	0.075584059	0.104443426
0	1	0	0	0
0	0	0	1	0
1	0	0	0	0
0.784841076	0	0	0	0.215158924
0	0.044795784	0	0.179183136	0.77602108
0	0.894230108	0	0	0.105769892
0	0.826035503	0.134234996	0	0.039729501
0.110864335	0.742550435	0	0.061447344	0.085137886
0.012596221	0.906578027	0	0.00139958	0.079426172
0.157575758	0	0	0.421212121	0.421212121
0	0	0	1	0
0	0	0	1	0
0.623306233	0	0	0.376693767	0
0	0.793637712	0.203560244	0.002802044	0
0.133101132	0.687523324	0	0.025625078	0.153750466
1	0	0	0	0
0	0.924494649	0.001070155	0.022116528	0.052318668
0.426478873	0	0	0.122253521	0.451267606
0	0	0.332755633	0.277989601	0.389254766
0	0	0	0.99380805	0.00619195
0	0.362166532	0.637833468	0	0
0	1	0	0	0
0	0.93915287	0.059772092	0.001075038	0
1	0	0	0	0
0.004909561	0.912661499	0	0.082428941	0
0	0.860215054	0.139784946	0	0
0.030396175	0.668203552	0.018784153	0.055327869	0.227288251
1	0	0	0	0
1	0	0	0	0
0.648055357	0.213552851	0	0.03722262	0.101169172
0.065604499	0.298165752	0	0.091042978	0.545186772
0.124611399	0	0.797150259	0	0.078238342
0	0.997457854	0.002542146	0	0
0	0	0	0.959453504	0.040546496
0.904283802	0	0	0	0.095716198
0.201716738	0.708154506	0.090128755	0	0
0.000159033	0.305343511	0.694497455	0	0
0	0.248814845	0.044155492	0.0365705	0.670459163
1	0	0	0	0
0	0	0	1	0
0	0	0	0.80712424	0.19287576
0	0.948992713	0	0	0.051007287
0	0.473031026	0.440572792	0	0.086396181
0.977272727	0	0	0.022727273	0
0	0	0	1	0
0	0.994278449	0	0.005721551	0
0	0.757559958	0	0.088112617	0.154327424
0.003968648	0.640242088	0.213215597	0.007143566	0.135430102
0.030088496	0	0	0	0.969911504
0.253198653	0.746801347	0	0	0
0.000710732	0.572613125	0.323146174	0	0.103529969
0.055769905	0.44510698	0	0.042090495	0.45703262
0	0	0	1	0
0.037522721	0.058556219	0.082446118	0.293949623	0.527525318
0	0.412474012	0.106444906	0	0.481081081
0	0.761826183	0.180555556	0.009832233	0.047786029
0	0	0	0.208888889	0.791111111
