"","idSensor","idDispositivo","tinicio","tfin","Obsoleto","duracion_s","tDB","sincio","sfin","fabricante","naturaleza","etiqueta","majordeviceclass","minordeviceclass","serviceclass"
"38","112","17395B823CFD0EEAE5F6C4A7499D37BA724F67C0",2015-09-27 06:30:46,2015-09-27 07:29:18,0,3512,"2015-09-27 09:12:24.498",-78,-78,"APPLE","WIFI",NA,"","",""
"39","112","E32709E86057E787F75152E4935A60BFDF273620",2015-09-27 06:30:22,2015-09-27 07:28:32,0,3489,"2015-09-27 09:12:24.498",-79,-79,"LG ELECTRONICS","WIFI",NA,"","",""
"40","112","4F6A47937C4F6EBC7F7B2D8286E68509424BA464",2015-09-27 06:47:17,2015-09-27 07:27:12,0,2394,"2015-09-27 09:31:34.873",-72,-72,"SAMSUNG ELEC","WIFI",NA,"","",""
"41","112","B6F5E11C51EA05764D448390A54F5A911EAAFF69",2015-09-27 06:53:21,2015-09-27 07:22:55,0,1773,"2015-09-27 09:31:34.873",-67,-64,"LG ELECTRONICS","WIFI",NA,"","",""
"42","112","651BD147A121C79658A192EB505DF4877BD67651",2015-09-27 05:08:22,2015-09-27 07:22:22,0,8040,"2015-09-27 06:57:07.985",-69,-79,"MURATA MANUFACTUARING","WIFI",NA,"","",""
"43","102","6D37045CF3FE0F676BE411B923F87B69C8743DB9",2015-09-27 06:59:47,2015-09-27 07:22:02,0,1334,"2015-09-27 07:03:58.221",-80,-78,"HUAWEI TECHNOLOGIES","BLUETOOTH",NA,"","",""
"44","112","CD67DDCBBAC8B709D3CFCE9D8E9D4B69044F80D0",2015-09-27 05:13:38,2015-09-27 07:21:53,0,7694,"2015-09-27 07:07:15.779",-65,-63,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"45","112","032DFE916F3448B570460A55DFBC97D879CE686A",2015-09-27 06:10:17,2015-09-27 07:21:26,0,4268,"2015-09-27 08:43:40.639",-78,-80,"HTC PORATION","WIFI",NA,"","",""
"46","112","E2797925FFCA2A6FC7F670F1E4549EA485DABAD2",2015-09-27 06:58:04,2015-09-27 07:21:00,0,1375,"2015-09-27 09:41:10.224",-70,-64,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"47","112","8AA74D69304E2DC10AD78E8DF352F2D9740084A0",2015-09-27 06:11:06,2015-09-27 07:20:31,0,4164,"2015-09-27 08:43:40.639",-64,-67,"LG ELECTRONICS (MOBILE MUNICAITONS)","WIFI",NA,"","",""
"48","112","BA3A52DF3CD20B910D01BB558B81E2A0BD578C84",2015-09-27 06:36:55,2015-09-27 07:20:27,0,2612,"2015-09-27 09:21:57.387",-77,-79,"BQ","WIFI",NA,"","",""
"49","112","5333A34E38DD04CB7FFE251A43B3FBC2F0DE0EBE",2015-09-27 06:14:51,2015-09-27 07:20:06,0,3914,"2015-09-27 08:53:15.790",-72,-72,"LG ELECTRONICS","WIFI",NA,"","",""
"50","112","190DCC485F0944DBB4399EBC47702E0FB7C67EF7",2015-09-27 06:34:18,2015-09-27 07:19:57,0,2739,"2015-09-27 09:12:24.498",-51,-66,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"51","112","BAB66699CEC77592392E4742F34EA26728D9F384",2015-09-27 06:53:38,2015-09-27 07:19:45,0,1567,"2015-09-27 09:31:34.873",-75,-73,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"52","112","0D2C9C6E6899CDCDAD7B10040CCEE7AD3F5B3400",2015-09-27 05:26:28,2015-09-27 07:19:43,0,6795,"2015-09-27 07:27:10.261",-70,-70,"APPLE","WIFI",NA,"","",""
"53","112","B2979EF4A0F08BF482E2F8D0676629FCF80BED97",2015-09-27 06:56:43,2015-09-27 07:19:16,0,1353,"2015-09-27 09:41:10.224",-69,-79,"APPLE","BLUETOOTH",NA,"","",""
"54","112","D9BC60333816EF83FEA8266C3550C91B94227286",2015-09-27 06:57:30,2015-09-27 07:19:15,0,1304,"2015-09-27 09:41:10.224",-80,-80,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"55","112","8FA4CA41A30E832586D822A336D400E20CD6AA8E",2015-09-27 05:38:42,2015-09-27 07:19:07,0,6025,"2015-09-27 07:46:29.732",-59,-52,"APPLE","BLUETOOTH",NA,"","",""
"56","112","6EA29A5EA2F97FCCCB32B327C43023D77BE38341",2015-09-27 06:55:52,2015-09-27 07:19:07,0,1394,"2015-09-27 09:41:10.224",-71,-72,"BQ","WIFI",NA,"","",""
"57","112","84FCD7FD9E1C11239FCAA53D1EE9EEC0C78248C3",2015-09-27 06:58:32,2015-09-27 07:19:05,0,1233,"2015-09-27 09:41:10.224",-79,-79,"BQ","WIFI",NA,"","",""
"58","112","B2FD643B4DCE4C1989ECE5B456F58BA04512EF4D",2015-09-27 05:59:01,2015-09-27 07:19:00,0,4799,"2015-09-27 08:24:32.308",-65,-64,"LG ELECTRONICS (MOBILE MUNICAITONS)","BLUETOOTH",NA,"","",""
"59","112","C9A5F25D03BF37F70FAD4866665B33F700F67968",2015-09-27 06:40:12,2015-09-27 07:18:57,0,2324,"2015-09-27 09:21:57.387",-78,-78,"APPLE","WIFI",NA,"","",""
