"","idDispositivo","tiempo_total","tiempo_absoluto_102","tiempo_absoluto_112","tiempo_absoluto_122","tiempo_absoluto_132","tiempo_absoluto_142","veces"
"126","0C4270BD6895A181E9AD0F605F31A078D1B48D73",993,0,0,0,993,0,10
"127","0C666E121AD8500E7AF630505273ED1982EA1342",31939,4802,26648,0,1,488,6
"128","0CA6A52686F92404F8F26A2FCBE9FF271BF613A0",0,0,0,0,0,0,6
"129","0CC612E7E6D3A0453DC2D7C141127CE21238592F",57,0,0,0,57,0,10
"130","0CDF9EC11AD98D794D5090F8BB8099737052F3B9",385,0,13,0,372,0,6
"131","0CFC3AA72EA1567FE7218E5A36CB2FDD97704A69",46937,0,0,0,28336,18601,10
"132","0CFC5056D4DA32C934EC632E345E77305EBE3387",649,0,0,492,157,0,6
"133","0D05C41DA72BDF9DB53295599673B95DBEDE0B8F",467,0,0,0,467,0,23
"134","0D24A8798577F21D32EB70A709143307431F166E",18005,0,14937,318,120,2630,6
"135","0D266AD84EF82785B110198EE7B205B46D172552",520022,23586,343467,21637,27147,104185,47
"136","0D2FFC391C5330A908DA00F865BC161471191C66",8589,0,4992,984,2029,584,18
"137","0D32F69FCFD005EF66728E529ED29E90C21E5298",10401,0,7351,630,104,2316,7
"138","0D80275238C944090DD4EC130AD971D890E5574D",38261,0,34233,1656,187,2185,6
"139","0D95CF9336793B9AE7CE52255551FAFE914493FE",265,0,0,0,265,0,6
"140","0D9B5BF52CFC8B6086AACE9FB5422112C4804363",53645,71,45133,6366,1050,1025,6
"141","0DC96EA49D88C1779D364E2F4D32FECE260C8D1E",152562,17831,131146,21,0,3564,14
"142","0E2D1A3C59FB873395B637C7DF89A2F112B1B9E3",8491,64,6605,848,7,967,24
"143","0E2FAA21B0D880A81949E06B933477AC6E676C26",140,0,3,0,137,0,15
"144","0E655380E67E9D09D325449AFE0014FFEBDA552D",22346,0,0,0,22290,56,21
"145","0EA387E9CA6BD058B78673E5F4F132A5697B40C2",65811,1,45719,8715,1044,10332,8
"146","0EB7FB328938BAB0B7511CB88330999BFCC878E3",56218,0,37854,11903,428,6033,8
"147","0EF29C74B10083FBC9B0651AB3F68566AA24F62E",14487,0,6216,4537,1353,2381,14
"148","0EF920383844DB7FDABD17E8A3BEA79866A42610",932,0,0,0,488,444,8
"149","0F16EA03DF55B213DAC4A4C8F69203EB654A609E",35,0,0,0,35,0,7
"150","0F18A6F2615AF07BA0513D5D176C80EC5D8F8312",1417,0,0,0,1284,133,6
"151","0F1BAC26F80683C9DD01F54B658CA2C83D6CF5A8",1012,170,0,0,842,0,25
"152","0F305A9870353F303883D86DFD025F472292755F",143,0,0,0,143,0,7
"153","0F326081DF10B8FCB4309C8A9718D336A701B25C",2570,0,0,0,2397,173,18
"154","0F55628EF81E404E75F0A72FAA97B52526820CBB",1507,0,0,0,1507,0,18
"155","0F5D86D73DA73AA14B0E2B007ABD76242735BAD6",41523,0,18842,1134,8116,13431,7
"156","0F7E263494EE9E71BF4DBDD9165939F45A0F776A",40389,2205,33338,2325,238,2283,14
"157","0FE42E543C8AAA133D82CE7A183C35C10B4AEF40",62831,15196,40773,276,4043,2543,15
"158","0FEF04B14F2AFD1CB23C8CD4324D0D80D7CBABA3",1304532,0,1238774,65758,0,0,47
"159","0FF58CA00BB67434DB5E2425CBE172C20FCE8C47",50812,5746,35512,163,3658,5733,26
"160","100E33150174DC27DB065EF598C10B58FB53FB1B",578,0,0,0,578,0,8
"161","1018FB5BA428D7D2E6FFEFD5A6AD14DCFE86610F",58244,0,18529,0,11947,27768,9
"162","105EA6ADB764CCC33A15D483BB6D1C3134A8D4C8",122464,10678,41871,47893,1026,20996,21
"163","1079AD5981DAA5B046FDECD2444C7C09FC0139A5",27,0,0,0,27,0,16
"164","109F78DEB85336A4E43D487EFF3CD33379E52512",21,0,0,0,21,0,13
"165","10D58DCBA8C434CD32C4AF3BF9455656D3620F32",958,0,0,0,765,193,6
"166","10EB1A262A546F0DB7DEAA6A15A18C94AE708611",4496,0,0,0,3990,506,6
"167","10EC9993CE70FA9F84836651D5487DC6C63E28D0",1006,0,0,0,866,140,17
"168","1127F5FC8505DF9551DEFC6BD158CBC00D1F9EFE",28144,0,25186,583,1030,1345,7
"169","11404A7B0E75709DFF0928B7BD2E870FCE90E5E7",4808,0,1451,52,1406,1899,9
"170","1152C3AA9FC30966B3781B92E66054A4374ABA57",342,0,0,0,342,0,8
"171","1172785648A8DA69B5DA185674846019CD6D0F11",39,0,0,0,39,0,9
"172","118680DEC14977C06C09A88EE1FED72EBA8666E0",185,0,0,0,185,0,16
"173","11BA081C17FDA179EDC9FE11769763845E58CD49",116146,11485,88228,1172,2038,13223,22
"174","11BC69C263FE178FADF18FB6834AB64478EA44AF",300,0,0,0,300,0,7
"175","11CC28C6AB729168134634FD55C4BB6C4E7B6A9A",81270,0,39318,32661,2490,6801,6
"176","124666899428B3A98D84A7CA76B21D6181C3BF5C",55156,62,27663,14142,507,12782,7
"177","12778475BE90EEA58B29CC335FE0AC5ED6D4D3B1",4182,0,430,0,3598,154,16
"178","129C97A66B389F85B360762B8EFBE5D4C449E4BE",1597,0,0,142,1455,0,11
"179","12AE03602DBB4DC1691781C36685E7D20A837658",30804,5798,6623,1227,17156,0,9
