19
#n ent_time	out_time	stay_time	total_time	abs_time_n102	abs_time_n112	abs_time_n122	abs_time_n132	abs_time_n142	rel_time_vic_n102	rel_time_vic_n112	rel_time_vic_n122	rel_time_vic_n132	rel_time_vic_n142	rel_time_nig_n102	rel_time_nig_n112	rel_time_nig_n122	rel_time_nig_n132	rel_time_nig_n142
28444.27241	42241.26485	13796.99244	13145	1421	7365	3279	426	654	0.10810194	0.560289083	0.249448459	0.03240776	0.049752758	0.030363248	0.157371795	0.070064103	0.009102564	0.013974359
1783.287023	1986.286911	202.9998884	203	0	0	0	203	0	0	0	0	1	0	0	0	0	0.004337607	0
19706.2772	23546.27509	3839.997895	2759	632	2123	0	0	4	0.229068503	0.769481696	0	0	0.001449801	0.013504274	0.045363248	0	0	8.55E-05
30284.2714	40186.26597	9901.994572	895	299	0	480	15	101	0.334078212	0	0.536312849	0.016759777	0.112849162	0.006388889	0	0.01025641	0.000320513	0.00215812
22871.27546	38270.26702	15398.99156	2629	0	2164	0	465	0	0	0.823126664	0	0.176873336	0	0	0.046239316	0	0.009935897	0
34647.26901	37457.26747	2809.99846	1622	103	413	1106	0	0	0.06350185	0.254623921	0.681874229	0	0	0.002200855	0.008824786	0.023632479	0	0
19893.2771	40123.26601	20229.98891	1683	133	1514	36	0	0	0.07902555	0.899584076	0.021390374	0	0	0.00284188	0.032350427	0.000769231	0	0
7354.283969	14441.28009	7086.996116	6701	2754	766	0	1950	1231	0.410983435	0.114311297	0	0.291001343	0.183703925	0.058846154	0.016367521	0	0.041666667	0.026303419
27112.27314	37167.26763	10054.99449	2665	0	2075	53	5	532	0	0.778611632	0.01988743	0.001876173	0.199624765	0	0.044337607	0.001132479	0.000106838	0.011367521
30733.27116	35519.26853	4785.997377	3328	958	2250	120	0	0	0.287860577	0.676081731	0.036057692	0	0	0.020470085	0.048076923	0.002564103	0	0
28036.27263	31423.27078	3386.998144	919	919	0	0	0	0	1	0	0	0	0	0.019636752	0	0	0	0
10113.28246	10654.28216	540.9997036	749	0	68	0	503	178	0	0.090787717	0	0.671562083	0.2376502	0	0.001452991	0	0.010747863	0.003803419
19566.27728	31164.27092	11597.99364	8711	647	6298	0	625	1141	0.074273907	0.722993916	0	0.071748364	0.130983814	0.013824786	0.13457265	0	0.013354701	0.024380342
29589.27178	36311.2681	6721.996316	3918	18	380	0	326	3194	0.004594181	0.096988259	0	0.083205717	0.815211843	0.000384615	0.008119658	0	0.006965812	0.068247863
37055.26769	42014.26497	4958.997282	5295	471	4122	581	0	121	0.088951841	0.778470255	0.109726157	0	0.022851747	0.010064103	0.088076923	0.01241453	0	0.00258547
20331.27686	37345.26753	17013.99067	31945	4223	8578	3567	6668	8909	0.132195962	0.268524026	0.111660667	0.208733761	0.278885585	0.090235043	0.183290598	0.076217949	0.142478632	0.190363248
30328.27138	40897.26558	10568.99421	10076	1	5771	3355	371	578	9.92E-05	0.572747122	0.332969432	0.036820167	0.057364033	2.14E-05	0.123311966	0.071688034	0.00792735	0.012350427
11613.28163	44680.26351	33066.98188	32531	22532	8889	628	0	482	0.692631644	0.273247057	0.019304663	0	0.014816636	0.481452991	0.189935897	0.013418803	0	0.010299145
21313.27632	40864.2656	19550.98928	168	85	8	30	30	15	0.505952381	0.047619048	0.178571429	0.178571429	0.089285714	0.001816239	0.00017094	0.000641026	0.000641026	0.000320513
21571.27618	38782.26674	17210.99057	4793	0	3388	63	485	857	0	0.706864177	0.013144169	0.101189234	0.17880242	0	0.072393162	0.001346154	0.010363248	0.018311966
21126.27642	26655.27339	5528.99697	446	0	445	1	0	0	0	0.997757848	0.002242152	0	0	0	0.009508547	2.14E-05	0	0
20320.27686	28119.27259	7798.995726	1512	120	1154	205	0	33	0.079365079	0.763227513	0.135582011	0	0.021825397	0.002564103	0.02465812	0.004380342	0	0.000705128
25210.27418	40181.26598	14970.99179	11766	0	2175	9591	0	0	0	0.184854666	0.815145334	0	0	0	0.046474359	0.204935897	0	0
19791.27715	28878.27217	9086.99502	2035	218	1518	0	0	299	0.107125307	0.745945946	0	0	0.146928747	0.00465812	0.032435897	0	0	0.006388889
24574.27453	40407.26585	15832.99132	1182	275	907	0	0	0	0.232656514	0.767343486	0	0	0	0.005876068	0.019380342	0	0	0
25014.27429	34013.26936	8998.995068	241	0	241	0	0	0	0	1	0	0	0	0	0.005149573	0	0	0
23650.27504	33361.26971	9710.994678	2645	2290	219	0	45	91	0.865784499	0.082797732	0	0.017013233	0.034404537	0.048931624	0.004679487	0	0.000961538	0.001944444
7376.283957	7379.283956	2.999998428	3	0	0	0	3	0	0	0	0	1	0	0	0	0	6.41E-05	0
10379.28231	10448.28227	68.9999626	68	0	0	0	68	0	0	0	0	1	0	0	0	0	0.001452991	0
27655.27284	42069.26494	14413.9921	9935	285	2265	2507	58	4820	0.028686462	0.227981882	0.252340211	0.005837947	0.485153498	0.006089744	0.048397436	0.053568376	0.001239316	0.102991453
25701.27391	39203.26651	13501.9926	3323	2144	567	0	304	308	0.64520012	0.17062895	0	0.091483599	0.092687331	0.045811966	0.012115385	0	0.006495726	0.006581197
20231.27691	33125.26984	12893.99293	5817	12	5428	0	181	196	0.002062919	0.933127041	0	0.031115695	0.033694344	0.00025641	0.115982906	0	0.003867521	0.004188034
11673.2816	13642.28052	1968.998921	279	0	0	0	279	0	0	0	0	1	0	0	0	0	0.005961538	0
20042.27702	33579.2696	13536.99258	7375	122	6257	996	0	0	0.016542373	0.84840678	0.135050847	0	0	0.002606838	0.133696581	0.021282051	0	0
2940.286388	9736.282663	6795.996275	6855	6795	35	0	0	25	0.991247265	0.005105762	0	0	0.003646973	0.145192308	0.000747863	0	0	0.000534188
