"";"Fecha";"Calle";"Espiras";"Mobywit"
"170";2016-09-01 10:45:00;"Dr-Oloriz";0;42
"171";2016-09-01 10:45:00;"Méndez-Núñez";296;110
"172";2016-09-01 11:00:00;"Beiro-Andalucía";121;31
"173";2016-09-01 11:00:00;"Constitución";191;26
"174";2016-09-01 11:00:00;"Dr-Oloriz";0;61
"175";2016-09-01 11:00:00;"Méndez-Núñez";333;64
"176";2016-09-01 11:15:00;"Beiro-Andalucía";113;25
"177";2016-09-01 11:15:00;"Constitución";195;28
"178";2016-09-01 11:15:00;"Dr-Oloriz";0;52
"179";2016-09-01 11:15:00;"Méndez-Núñez";323;36
"180";2016-09-01 11:30:00;"Beiro-Andalucía";125;27
"181";2016-09-01 11:30:00;"Constitución";207;33
"182";2016-09-01 11:30:00;"Dr-Oloriz";0;43
"183";2016-09-01 11:30:00;"Méndez-Núñez";325;22
"184";2016-09-01 11:45:00;"Beiro-Andalucía";124;30
"185";2016-09-01 11:45:00;"Constitución";217;37
"186";2016-09-01 11:45:00;"Dr-Oloriz";0;54
"187";2016-09-01 11:45:00;"Méndez-Núñez";303;75
"188";2016-09-01 12:00:00;"Beiro-Andalucía";132;27
"189";2016-09-01 12:00:00;"Constitución";210;20
"190";2016-09-01 12:00:00;"Dr-Oloriz";0;57
"191";2016-09-01 12:00:00;"Méndez-Núñez";376;121
"192";2016-09-01 12:15:00;"Beiro-Andalucía";88;25
"193";2016-09-01 12:15:00;"Constitución";216;14
"194";2016-09-01 12:15:00;"Dr-Oloriz";0;44
"195";2016-09-01 12:15:00;"Méndez-Núñez";360;168
"196";2016-09-01 12:30:00;"Beiro-Andalucía";87;38
"197";2016-09-01 12:30:00;"Constitución";187;6
"198";2016-09-01 12:30:00;"Dr-Oloriz";0;48
"199";2016-09-01 12:30:00;"Méndez-Núñez";374;153
"200";2016-09-01 12:45:00;"Beiro-Andalucía";107;32
"201";2016-09-01 12:45:00;"Constitución";195;11
"202";2016-09-01 12:45:00;"Dr-Oloriz";0;55
"203";2016-09-01 12:45:00;"Méndez-Núñez";306;131
"204";2016-09-01 13:00:00;"Beiro-Andalucía";76;20
"205";2016-09-01 13:00:00;"Constitución";205;11
"206";2016-09-01 13:00:00;"Dr-Oloriz";0;40
"207";2016-09-01 13:00:00;"Méndez-Núñez";338;78
"208";2016-09-01 13:15:00;"Beiro-Andalucía";94;39
"209";2016-09-01 13:15:00;"Constitución";192;11
"210";2016-09-01 13:15:00;"Dr-Oloriz";0;40
"211";2016-09-01 13:15:00;"Méndez-Núñez";309;48
"212";2016-09-01 13:30:00;"Beiro-Andalucía";88;27
"213";2016-09-01 13:30:00;"Constitución";207;23
"214";2016-09-01 13:30:00;"Dr-Oloriz";0;59
"215";2016-09-01 13:30:00;"Méndez-Núñez";330;91
"216";2016-09-01 13:45:00;"Beiro-Andalucía";76;26
"217";2016-09-01 13:45:00;"Constitución";212;23
