5
#n time_102	time_112	time_122	time_132	time_142
0	8736	556	10	0
0	0	0	0	0
6646	0	0	0	0
19	3532	0	319	0
0	80	13	0	0
178	3913	110	324	1331
0	0	0	0	0
19	0	0	0	0
156	0	0	0	0
2716	895	0	156	424
490	2227	0	680	4072
481	0	3077	0	302
0	7455	19	0	0
0	0	0	2177	92
1351	0	0	0	143
0	0	0	0	0
0	0	0	0	0
141	495	63	0	0
1	1920	4367	0	0
0	0	0	0	0
0	1837	326	270	4950
0	0	0	0	0
0	0	0	0	0
121	0	0	0	0
0	0	0	8	0
0	0	0	929	222
0	2214	0	0	119
0	1982	1846	0	362
43	0	0	1	0
0	0	0	257	0
0	0	0	0	0
0	1564	0	9	0
0	1453	0	169	296
40	6453	2149	72	1365
17	0	0	0	548
376	1109	0	0	0
0	0	0	0	0
3	2417	1364	0	437
318	2538	0	240	2606
0	0	0	0	0
0	0	0	117	0
289	451	635	2264	4063
0	992	256	0	1157
0	11080	2626	143	695
0	0	0	47	178
0	4912	704	0	579
712	0	0	0	0
0	0	0	15	15
1020	0	0	0	0
0	0	0	0	0
29	0	0	0	0
43	985	0	0	262
44	0	0	0	0
0	1955	0	0	0
0	0	0	0	0
166	2547	1075	152	209
0	0	0	121	583
4	0	0	0	4
0	4329	185	0	4452
0	430	0	0	1009
0	0	0	0	0
121	0	0	484	242
0	9611	3607	120	0
2545	0	0	0	0
4024	7441	3074	6052	8666
2122	0	0	0	0
513	0	0	0	0
126	2824	0	475	444
0	1969	2179	0	19
613	0	0	0	0
0	0	0	0	0
0	333	0	0	0
0	7300	457	115	227
0	8100	553	0	1490
2142	9050	43	134	826
232	15	0	0	0
1970	0	0	0	0
0	2483	576	0	0
0	0	0	0	0
45	6527	1112	1209	6292
0	0	0	0	0
0	132	0	0	0
0	0	0	477	0
0	0	0	62	0
30	4988	0	0	0
86	1135	2021	0	0
0	1567	760	53	550
0	0	0	0	3
675	2620	1448	0	2350
0	0	0	0	0
15	9837	202	426	395
0	0	0	78	95
0	2227	313	224	39
33	0	0	282	303
0	0	0	300	0
95	709	9836	119	178
0	0	0	208	0
0	7174	677	108	541
0	0	0	0	0
254	767	0	220	238
0	0	0	0	0
0	0	0	89	0
738	1269	0	0	0
0	3772	180	0	0
170	0	0	158	414
0	0	0	0	3259
11	0	0	243	256
0	3684	0	119	120
0	8164	736	637	632
0	0	0	0	0
2233	962	537	158	494
0	0	0	0	0
0	0	0	201	217
54	5164	0	539	521
0	1073	0	0	0
7	555	182	0	0
0	961	4	0	12
36	1003	657	509	107
0	0	0	0	0
166	0	0	0	149
0	0	0	294	0
0	0	0	0	0
321	2303	206	0	0
0	1029	0	83	0
0	13783	0	1035	1368
0	32	0	0	0
4004	1761	322	310	2943
0	0	0	868	0
0	387	0	0	0
50	836	0	786	896
735	0	0	0	0
417	1516	298	110	170
0	0	0	0	0
108	0	0	6309	6742
0	0	0	16	768
969	6203	1280	159	213
73	11544	1354	511	806
375	2516	4737	255	1094
0	0	0	0	0
0	0	0	0	0
81	149	0	0	0
2970	0	0	242	122
0	271	0	0	0
1563	2445	1219	269	2745
0	0	0	0	0
0	0	0	0	0
20	2963	0	26	0
181	59	0	0	0
0	115	100	0	0
983	13789	0	120	240
0	0	0	0	0
324	9996	0	393	506
0	0	0	2255	244
0	0	336	0	0
0	0	0	0	0
0	0	0	1317	0
39	1669	0	143	1894
0	2854	0	0	0
0	115	263	0	406
0	0	282	0	0
0	0	0	452	184
0	0	0	0	0
536	1715	70	103	3342
0	0	0	61	0
0	0	0	811	0
84	3099	152	231	5027
0	0	0	0	0
0	760	0	0	0
0	0	0	0	0
0	0	0	0	0
8	0	0	0	0
3	0	0	0	0
0	4488	3204	0	0
0	0	0	3	0
2117	0	0	0	45
210	0	0	0	0
1322	3411	731	0	0
0	0	0	373	502
360	0	0	0	0
0	0	0	109	0
0	0	0	0	0
0	2704	0	60	541
32	0	0	0	0
0	0	0	0	0
0	2075	0	0	0
0	0	0	633	524
0	0	0	1021	0
0	0	0	28	0
228	0	0	0	0
1509	1888	0	0	0
0	0	0	920	0
0	2917	425	141	815
369	0	0	0	0
69	2336	0	552	1542
448	2328	296	69	317
0	0	0	0	0
0	0	0	4	0
0	10144	57	254	0
0	0	0	0	0
0	0	0	3	0
0	0	0	2435	290
899	5	0	0	600
0	4	0	4	0
0	1913	0	0	285
171	4214	1240	280	2467
0	404	0	20	225
397	2298	6813	0	1080
0	34	0	0	0
1353	3259	0	15	1458
1189	5234	1293	327	3659
0	0	0	0	0
0	0	0	0	0
112	3325	114	372	1047
0	0	0	1556	646
699	241	1106	13	331
0	643	0	0	57
0	0	0	11	0
4	6384	0	20	402
0	0	0	0	0
0	3759	0	0	0
0	396	1487	459	459
92	2843	1003	67	182
0	0	0	0	0
0	1156	475	0	700
0	0	0	1569	182
1020	2105	0	0	0
105	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1049	103	605	1464
284	2204	1276	58	252
3559	812	0	933	2077
0	0	0	0	0
2917	0	0	0	0
2345	4430	0	0	0
5	538	0	0	0
447	1404	2282	152	82
444	2047	19	266	1488
0	0	0	0	0
121	154	0	0	21
0	3310	0	0	540
8	0	482	0	0
0	0	0	379	0
0	0	18	0	0
0	0	0	1716	487
41	0	0	0	0
180	0	0	0	0
0	0	186	0	0
862	1071	1190	0	0
0	0	0	0	0
0	1270	0	0	825
114	0	0	0	545
0	0	0	0	0
0	0	0	0	0
0	117	53	0	146
0	0	0	0	0
95	0	991	121	105
0	0	0	223	0
92	4226	1636	46	494
109	3957	1776	62	567
27	508	0	529	518
0	0	0	0	0
2402	5978	0	0	4098
0	0	0	0	0
0	2809	0	0	0
571	5697	0	0	0
0	0	0	136	0
0	0	0	0	0
8219	974	0	7337	1253
0	1781	0	0	0
0	34	356	235	0
0	2581	0	12	47
164	5345	101	0	66
0	0	0	222	0
0	1997	7144	0	0
47	12	263	25	227
0	151	0	44	28
0	0	0	152	0
0	8040	0	0	11
0	0	0	0	0
451	1683	0	0	12
0	0	0	1212	0
573	0	0	4221	15
0	5638	0	0	0
0	12146	0	195	1168
20	0	449	0	0
1298	1022	0	3	776
467	752	0	17	48
3433	2467	1759	121	542
643	4223	2422	200	355
0	0	0	0	0
0	13106	3632	181	407
1130	0	0	0	0
0	500	0	161	531
1759	3342	78	121	0
