"Real","rpart","rf","glm","nnet"
294,225.54820415879,223.851465506776,159.680878938223,150.262422191895
114,122.707602339181,139.384617574671,183.420521925015,133.30748676159
211,225.54820415879,225.911403988576,158.548334919406,207.789815698685
132,199.401459854015,161.144829176023,121.792580042841,135.292707430077
194,225.54820415879,238.126102587783,272.46322217152,228.907570544679
120,122.707602339181,95.9742554708881,147.032569364323,101.836219490447
426,225.54820415879,248.350688410469,251.819993230126,281.11671534397
46,39.772397094431,56.4432813807867,89.7624316508522,73.2564562588963
97,225.54820415879,180.730390245882,147.551561417992,139.671999894115
342,313.053435114504,314.061115156163,361.758706320502,383.284752980471
240,225.54820415879,211.519776042545,243.515573995413,205.996937595913
36,39.772397094431,33.9531210011851,61.5758111919507,47.1406031292132
255,225.54820415879,234.392227731997,199.374737730763,233.820017618726
313,225.54820415879,264.902669667138,260.021325331917,286.772129107626
263,225.54820415879,234.653253451812,224.703900355651,242.04296109021
61,122.707602339181,103.643300443968,159.161886884553,112.286384389499
28,39.772397094431,50.8763692724952,78.4079695389195,69.5216181630465
206,225.54820415879,225.911403988576,158.548334919406,207.789815698685
247,225.54820415879,234.511046688439,260.33390465129,233.311901549888
71,39.772397094431,36.5095919059241,32.8787259008245,37.2658837637224
179,220.961538461538,208.877423409416,182.439167643995,188.244818918976
130,39.772397094431,45.0076525240143,65.5037966103906,52.0756116633364
27,39.772397094431,40.4665422516072,50.5170212561458,54.948621511875
191,225.54820415879,237.114667015314,212.57458283542,240.075533195813
259,225.54820415879,242.913089560019,215.432040669434,249.34544845063
37,39.772397094431,44.6985871993035,53.3744790901598,41.4851893655564
15,39.772397094431,36.2660865097064,25.5004379506307,31.6733556143143
224,313.053435114504,302.239642111067,276.853483678886,309.153055792184
263,225.54820415879,221.029921415815,175.116102690302,212.639173023167
239,225.54820415879,234.653253451812,224.703900355651,242.04296109021
257,225.54820415879,248.350688410469,251.819993230126,281.11671534397
232,225.54820415879,230.561360409985,267.712192601483,223.083440422851
183,225.54820415879,239.5885799247,273.221170436574,231.214282009047
188,313.053435114504,259.653764643058,206.697802684457,209.425663514536
164,122.707602339181,139.384617574671,183.420521925015,133.30748676159
226,225.54820415879,210.234264849611,196.068831498915,182.033689085235
67,122.707602339181,127.434530030006,174.686283940038,247.83916583513
26,39.772397094431,45.0076525240143,65.5037966103906,52.0756116633364
256,225.54820415879,223.520974949205,179.044088108741,217.57418155729
249,225.54820415879,237.114667015314,212.57458283542,240.075533195813
19,39.772397094431,50.0016145026191,85.8344462324123,68.3214477247731
167,225.54820415879,231.513135343361,211.816634570366,237.873414970348
229,199.401459854015,214.630922146636,134.289699878945,189.568244443997
297,225.54820415879,212.771359375878,231.386256475182,195.406515298133
522,313.053435114504,323.187981126183,402.523092697468,330.654903827614
81,199.401459854015,171.053112392288,133.921897563072,145.883129727856
20,39.772397094431,33.0261492973832,49.4464936717199,36.5501808314332
54,39.772397094431,37.0770220805289,68.8988761456441,22.7462490250231
174,225.54820415879,230.409293990834,194.936287480099,228.558330293489
219,199.401459854015,230.620646380748,167.689625996809,213.83934346144
180,225.54820415879,233.675582516733,187.557999529905,228.13588368566
46,225.54820415879,129.685075389026,150.409019252006,126.208567747796
297,313.053435114504,275.361443481768,216.206896077732,256.20103265256
203,225.54820415879,211.632331818922,151.170046969212,204.026824289783
224,225.54820415879,235.492440274829,164.057312754497,215.025947607944
258,313.053435114504,304.982689983588,252.594848638424,287.9722995459
40,122.707602339181,101.903997805672,155.233901466114,110.723480245962
195,225.54820415879,230.561360409985,267.712192601483,223.083440422851
19,39.772397094431,41.7438838827068,57.1373609412861,58.4467283592824
292,313.053435114504,305.52988625108,543.698469123964,541.681453331109
195,313.053435114504,304.982689983588,252.594848638424,287.9722995459
244,225.54820415879,265.735556747195,247.892007811686,276.181706809846
27,39.772397094431,50.8763692724952,78.4079695389195,69.5216181630465
64,39.772397094431,44.6301153450557,81.0281936658749,33.336671322803
205,313.053435114504,294.566517061537,240.465531118194,277.38187724812
406,313.053435114504,277.537578134609,243.085755245149,241.196930407876
22,39.772397094431,76.7784265816416,114.795922099612,101.292885056386
123,122.707602339181,137.393313848934,179.492536506575,129.942439764791
216,199.401459854015,214.136503005084,166.914770588511,206.98375925951
33,39.772397094431,45.0076525240143,65.5037966103906,52.0756116633364
160,122.707602339181,125.001486517099,162.556966419807,237.24874353735
267,225.54820415879,224.650463588211,151.927995234266,206.141399259778
181,225.54820415879,225.911403988576,158.548334919406,207.789815698685
226,225.54820415879,223.520974949205,179.044088108741,217.57418155729
255,122.707602339181,215.578371030066,196.324694853544,150.68377350863
88,225.54820415879,160.754523741214,123.292926377531,118.491155298555
19,39.772397094431,45.0076525240143,65.5037966103906,52.0756116633364
49,39.772397094431,50.8763692724952,78.4079695389195,69.5216181630465
239,225.54820415879,197.293674216734,241.209651692155,199.587173382924
295,225.54820415879,206.091674852069,219.256938954951,184.816093000353
38,39.772397094431,47.1528611450151,54.1493344984579,48.3407735674866
255,199.401459854015,205.741199418165,103.410725153343,166.69675897535
330,313.053435114504,282.835060653812,269.100599974929,214.166573308543
359,225.54820415879,234.653253451812,224.703900355651,242.04296109021
495,313.053435114504,319.419452742001,398.146658881194,415.053036556706
52,39.772397094431,75.0204837253079,101.891749171083,83.8468785566763
96,39.772397094431,55.955937036604,102.666604579381,90.7024627586065
349,199.401459854015,171.9356830432,158.180532603533,167.063974323416
280,225.54820415879,188.892120988245,182.868986394259,153.044826107013
34,39.772397094431,36.2660865097064,25.5004379506307,31.6733556143143
17,39.772397094431,36.5095919059241,32.8787259008245,37.2658837637224
249,313.053435114504,304.982689983588,252.594848638424,287.9722995459
178,225.54820415879,233.070862882601,231.324240040791,233.856154685244
24,39.772397094431,84.2495504625183,126.150384211545,105.027723152236
38,39.772397094431,45.0076525240143,65.5037966103906,52.0756116633364
189,225.54820415879,223.520974949205,179.044088108741,217.57418155729
135,199.401459854015,205.811564673243,127.669360193804,186.947644813823
208,225.54820415879,233.675582516733,187.557999529905,228.13588368566
15,39.772397094431,44.6985871993035,53.3744790901598,41.4851893655564
28,39.772397094431,44.6985871993035,53.3744790901598,41.4851893655564
250,225.54820415879,230.409293990834,194.936287480099,228.558330293489
161,39.772397094431,66.4276845328136,114.021066691314,94.4373008544563
266,225.54820415879,234.653253451812,224.703900355651,242.04296109021
178,122.707602339181,208.921526188542,184.195377333313,140.124801210673
211,225.54820415879,248.806607434636,211.504055250994,244.410439916506
193,225.54820415879,205.752265003458,289.726921773078,241.948862574044
37,39.772397094431,36.3789804831782,26.2583862156842,33.767776916315
221,225.54820415879,249.461896523203,227.561358189665,259.93587074841
313,225.54820415879,236.792762466093,182.806969959868,222.907799151482
310,225.54820415879,237.160883607312,236.075269610828,239.521784926929
239,199.401459854015,171.9356830432,158.180532603533,167.063974323416
51,39.772397094431,45.0076525240143,65.5037966103906,52.0756116633364
